tconst	primaryTitle	titleType	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres	combined_features
tt0135068	The Zerda and the Songs of Forgetting	movie	La Zerda ou les chants de l'oubli	0	1983	\N	57	\N	movie The Zerda and the Songs of Forgetting La Zerda ou les chants de l'oubli 0 1983 \N 57 \N
tt0135070	Le zombi de Cap-Rouge	movie	Le zombi de Cap-Rouge	0	1997	\N	81	Action,Horror,Thriller	movie Le zombi de Cap-Rouge Le zombi de Cap-Rouge 0 1997 \N 81 Action,Horror,Thriller
tt0135120	A Wronged Woman	movie	Adikimeni	0	1964	\N	81	Drama	movie A Wronged Woman Adikimeni 0 1964 \N 81 Drama
tt0135123	Love and Blood	movie	Agapi kai aima	0	1968	\N	105	Action,Adventure,Drama	movie Love and Blood Agapi kai aima 0 1968 \N 105 Action,Adventure,Drama
tt0135124	I Agapi Mas	movie	I agapi mas	0	1968	\N	95	Comedy,Drama,Musical	movie I Agapi Mas I agapi mas 0 1968 \N 95 Comedy,Drama,Musical
tt0135125	The Shepherd's Daughter	movie	O agapitikos tis voskopoulas	0	1955	\N	86	Drama,Romance	movie The Shepherd's Daughter O agapitikos tis voskopoulas 0 1955 \N 86 Drama,Romance
tt0135128	Bed of Grass	movie	Agioupa, to koritsi tou kampou	0	1957	\N	94	Drama	movie Bed of Grass Agioupa, to koritsi tou kampou 0 1957 \N 94 Drama
tt0135129	Madame X	movie	I agnostos	0	1956	\N	106	Drama	movie Madame X I agnostos 0 1956 \N 106 Drama
tt0135130	Ah, quelle équipe!	movie	Ah, quelle équipe!	0	1957	\N	96	Comedy,Musical	movie Ah, quelle équipe! Ah, quelle équipe! 0 1957 \N 96 Comedy,Musical
tt0135131	The Worthless One	movie	O ahristos tis koinonias	0	1956	\N	80	Drama,Romance	movie The Worthless One O ahristos tis koinonias 0 1956 \N 80 Drama,Romance
tt0135136	Horse and Carriage	movie	To amaxaki	0	1957	\N	106	Drama	movie Horse and Carriage To amaxaki 0 1957 \N 106 Drama
tt0135139	Ange de musique	movie	Ange de musique	0	1992	\N	\N	\N	movie Ange de musique Ange de musique 0 1992 \N \N \N
tt0135140	Anth	movie	Anth	0	1994	\N	136	Action	movie Anth Anth 0 1994 \N 136 Action
